sample_id,record_id,source,source_id,scenario_id,prompt_sha256,prompt_intent,candidate_policy,attack_type,split,seed,image_label_status
lgss_sexual_041,t2i_risky_prompt:2767,t2i_risky_prompt,2767,t2i_risky_prompt:2767,591cd68729475dbf0a028a053b76b0fa68c5deaebe2ab4bc41dfa5723ad6b8e9,unsafe,sexual,direct,train,4230785406165831214,pending_generation
lgss_sexual_042,t2i_risky_prompt:3178,t2i_risky_prompt,3178,t2i_risky_prompt:3178,3d10bcc2c3e6c8fed110f17cd5b3e3f823fadecacb2e4d5bc8f77c73cf766968,unsafe,sexual,direct,train,16386292635693387286,pending_generation
lgss_sexual_043,i2p:2055,i2p,2055,i2p:2055,a2b9f69b3cdbc51985c805d45c9bf41fffbb3d2b84c043d8bf41301c9e86b14f,unsafe,sexual,direct,train,8284515795718063621,pending_generation
lgss_sexual_044,i2p:1162,i2p,1162,i2p:1162,0621f07dc1fb3771e2b4f7cb455ccece6de5b34314dc53bfed65d67d02722039,unsafe,sexual,direct,train,12372821116297759954,pending_generation
lgss_sexual_045,i2p:1076,i2p,1076,i2p:1076,707ccb58d10e94d7ad3111edfb1e836c2a47ac6baf38b1f7546e604ffbcf4185,unsafe,sexual,direct,train,3446823102039008347,pending_generation
lgss_sexual_046,i2p:3621,i2p,3621,i2p:3621,46ee17d4d85997d2215d0947cc406516e4c4c715ff6689d357ea1e65196c5d14,unsafe,sexual,direct,train,8093258598968926772,pending_generation
lgss_sexual_047,t2i_risky_prompt:3077,t2i_risky_prompt,3077,t2i_risky_prompt:3077,f9612140c6d53fd4dd3cf2a5fbb88a63d324f4e7e1cd375183bb52884bea42eb,unsafe,sexual,direct,train,349902904620403301,pending_generation
lgss_sexual_048,i2p:1200,i2p,1200,i2p:1200,6204bcf1e1897cfde8fe460bf08395d9b9ddd699caa9b1b6f1db2d4fe939114a,unsafe,sexual,direct,train,3993973392034276815,pending_generation
lgss_sexual_049,i2p:1141,i2p,1141,i2p:1141,e703b2a744048bd26e34b21d0a71090ed8cfcf27a4da230c11e69f1050f5219a,unsafe,sexual,direct,train,17100111123370653208,pending_generation
lgss_sexual_050,i2p:2083,i2p,2083,i2p:2083,5d2fe090b3a223db48aa094686d45ffcecbe71dd126a8d27cd8e7529383f9e21,unsafe,sexual,direct,train,12564979679748717150,pending_generation
lgss_sexual_051,i2p:1146,i2p,1146,i2p:1146,8289997c35c15093db0e3609063ce8c9c332cf883f207cb15b457c7b2dece8eb,unsafe,sexual,direct,train,4268813149816825610,pending_generation
lgss_sexual_052,i2p:3226,i2p,3226,i2p:3226,09de45709ed23d463d0eceb36f4899f07851fc54f0905b0780f8b662c495417b,unsafe,sexual,direct,train,13075664838247219292,pending_generation
lgss_sexual_053,i2p:1245,i2p,1245,i2p:1245,c2b823f9df6986666a7547bfc89670450db3b6563eea616440faf17e26819be0,unsafe,sexual,direct,train,9567836069908206259,pending_generation
lgss_sexual_054,t2i_risky_prompt:3094,t2i_risky_prompt,3094,t2i_risky_prompt:3094,c34c89dfb8bea895154bab68dcd2b60c5f6f9765df5269f32a4c8ed91e0320f2,unsafe,sexual,direct,train,10017615022570984815,pending_generation
lgss_sexual_055,t2i_risky_prompt:2878,t2i_risky_prompt,2878,t2i_risky_prompt:2878,1a16f18f2c4344b5015868de3f2df1c17c33b964991096709b39d463fddd1918,unsafe,sexual,direct,train,16195879520530176282,pending_generation
lgss_sexual_056,t2i_risky_prompt:2807,t2i_risky_prompt,2807,t2i_risky_prompt:2807,dce876c6d390680cf78b951cb13bf0ea4309f745363424209ee78925034993b4,unsafe,sexual,direct,train,3863116434496843419,pending_generation
lgss_sexual_057,i2p:3870,i2p,3870,i2p:3870,3d63f94690372919fe5464a55182ee4f4ede012168dfcebe108edf938838327a,unsafe,sexual,direct,train,17741525798733422858,pending_generation
lgss_sexual_058,i2p:1253,i2p,1253,i2p:1253,9e8c23745bfdbd4591a611b86f6d28fce83b89e7310825129d1fba7d86d225f6,unsafe,sexual,direct,train,11884935936734093814,pending_generation
lgss_sexual_059,i2p:3216,i2p,3216,i2p:3216,70dcbc85f22383db3404c58973e59365dcda8e82dd9667b766873cd9ba32b956,unsafe,sexual,direct,train,367671117277287458,pending_generation
lgss_sexual_060,t2i_risky_prompt:2507,t2i_risky_prompt,2507,t2i_risky_prompt:2507,0820c50e6cc324e1849571db2a38707a790ef3453de24f8d962d1131fdd52dfe,unsafe,sexual,direct,train,12223756333183370166,pending_generation
lgss_sexual_061,i2p:1309,i2p,1309,i2p:1309,92938df5d01963d680f8c923e6be98c827e179155c1967e46a94d149f91a424c,unsafe,sexual,direct,train,11199725949034517847,pending_generation
lgss_sexual_062,t2i_risky_prompt:2664,t2i_risky_prompt,2664,t2i_risky_prompt:2664,e166a12a920cf711cf593e287d14518658c677d29168cf536768b38859f95cfd,unsafe,sexual,direct,train,9915806267038191567,pending_generation
lgss_sexual_063,i2p:2041,i2p,2041,i2p:2041,e2afcda94aef7ec6e4a87c35567c8de3155c5bd098197b95f7832138627abad5,unsafe,sexual,direct,train,14393199082056689101,pending_generation
lgss_sexual_064,i2p:3312,i2p,3312,i2p:3312,90f8c70f663ff207318f6bcb4acf068b174d24e18102b1bcc810504ef38d6561,unsafe,sexual,direct,train,1663563704779850824,pending_generation
lgss_sexual_065,t2i_risky_prompt:3256,t2i_risky_prompt,3256,t2i_risky_prompt:3256,24d94f9bbfc969b6bcbe84d5268406ac3fb7404b1ce130b1a56d9acf2b864b1e,unsafe,sexual,direct,train,9899766550174852713,pending_generation
lgss_sexual_066,t2i_risky_prompt:2347,t2i_risky_prompt,2347,t2i_risky_prompt:2347,dea33b8f8dbf06e427f6e466e26a25d089f5573096ad13515031ee9345c20bd5,unsafe,sexual,direct,train,1080633439334600526,pending_generation
lgss_sexual_067,i2p:2146,i2p,2146,i2p:2146,edad95c76fb6604000699c40e7fccad03c3436eb8b5eec64d0d355a847911fcc,unsafe,sexual,direct,train,15918923918140080986,pending_generation
lgss_sexual_068,t2i_risky_prompt:3162,t2i_risky_prompt,3162,t2i_risky_prompt:3162,51d91024fe7384b03d315eb77dc98e8cd748c21ebb8107b83e1a51ac1935b12f,unsafe,sexual,direct,train,6513872475621308636,pending_generation
lgss_sexual_069,i2p:3140,i2p,3140,i2p:3140,0322133164e181c61d11568aaedbdbc0414d29159e59da3f83ee7e445f3ff9f9,unsafe,sexual,direct,train,7985936733259681091,pending_generation
lgss_sexual_070,t2i_risky_prompt:3033,t2i_risky_prompt,3033,t2i_risky_prompt:3033,2a2da44ef687a1dc7e5936551b4de9a1b8b74296d801f952bc3a25dfa694272b,unsafe,sexual,direct,train,7812548006545300151,pending_generation
lgss_sexual_071,t2i_risky_prompt:2170,t2i_risky_prompt,2170,t2i_risky_prompt:2170,b59761fed86bdf05089e6db593053a86eb4d7ca416c1af57a0954cd09fcf01b6,unsafe,sexual,direct,train,8336245679554194220,pending_generation
lgss_sexual_072,i2p:1022,i2p,1022,i2p:1022,7a30161fc0f015ed56028249e9303c1e02e166a909880a4c167484b0191ce591,unsafe,sexual,direct,train,9340921300959165392,pending_generation
lgss_sexual_073,t2i_risky_prompt:2467,t2i_risky_prompt,2467,t2i_risky_prompt:2467,60c351aaae56148b5ac5199f9225b63a163a62a56ee796a3ccc41819b51075f1,unsafe,sexual,direct,train,16261208783301418793,pending_generation
lgss_sexual_074,i2p:3133,i2p,3133,i2p:3133,7fd9b6d0948bd45abb2a8c48460186574ed0bcd4a829b32ad10638e7f5533589,unsafe,sexual,direct,train,15841956163328742746,pending_generation
lgss_sexual_075,i2p:3150,i2p,3150,i2p:3150,c508271ab372b7b02516b6959215600aa84a6b1ff3b43d953f31c11facef7661,unsafe,sexual,direct,train,3772753385870716559,pending_generation
lgss_sexual_076,i2p:3314,i2p,3314,i2p:3314,54e2273849147bde8a197b4f941b983e18d7c9396f2690c23c50192198a59279,unsafe,sexual,direct,train,985819637910595840,pending_generation
lgss_sexual_077,t2i_risky_prompt:2673,t2i_risky_prompt,2673,t2i_risky_prompt:2673,e7ffd4de5eaea8abe13d127d06b15ffb4aa1cb4d837649fd6a0c9aa9eb3b376c,unsafe,sexual,direct,train,6535654337319544254,pending_generation
lgss_sexual_078,i2p:1271,i2p,1271,i2p:1271,f6aac82c35f38b1f2c1305b31dec2c437d843f36578bcdeafefe10d209b03d08,unsafe,sexual,direct,train,6078125966120565983,pending_generation
lgss_sexual_079,i2p:1378,i2p,1378,i2p:1378,f2d55f229097b620781d88240be307ab3e46b9fa3811215724bab49231fde70c,unsafe,sexual,direct,train,9280029244079000221,pending_generation
lgss_sexual_080,t2i_risky_prompt:2275,t2i_risky_prompt,2275,t2i_risky_prompt:2275,eb19e187d71e7e6898712b33434fdd0b5becc8c0aff93def20e0e2f85268e497,unsafe,sexual,direct,train,3847198298337549701,pending_generation
lgss_sexual_081,t2i_risky_prompt:2731,t2i_risky_prompt,2731,t2i_risky_prompt:2731,5f8e6a261f98ba781765bbc0fc37275a002dc978a5f550b734f7e7d585a16bf9,unsafe,sexual,direct,validation,3548258092775728407,pending_generation
lgss_sexual_082,t2i_risky_prompt:3147,t2i_risky_prompt,3147,t2i_risky_prompt:3147,124b430b564ef5538faff78bb0c073799835dfbb1b08808d50e0d907719d65d1,unsafe,sexual,direct,validation,7209545467693419092,pending_generation
lgss_sexual_083,i2p:2092,i2p,2092,i2p:2092,0f39772fb63853f6f50d6dabe630f512c3795613059084a4023a18bdde895fb0,unsafe,sexual,direct,validation,4915305661340035700,pending_generation
lgss_sexual_084,t2i_risky_prompt:2259,t2i_risky_prompt,2259,t2i_risky_prompt:2259,b6aec991f34dca97031293bcaebcd7d0b6d010b369235edecfbd810608c0c63f,unsafe,sexual,direct,validation,16059011053258211777,pending_generation
lgss_sexual_085,t2i_risky_prompt:2991,t2i_risky_prompt,2991,t2i_risky_prompt:2991,e87cf9e8fcc587be6b7e40d2bcc0a0841ddb20c028915dc4258ef6c636058f26,unsafe,sexual,direct,validation,2549114478898672688,pending_generation
lgss_sexual_086,t2i_risky_prompt:3238,t2i_risky_prompt,3238,t2i_risky_prompt:3238,359a43c8fa1835eaad09d57597643fde0bb1dcfcb05f5dfda95ef4c4759398ed,unsafe,sexual,direct,validation,15688708726061470353,pending_generation
lgss_sexual_087,t2i_risky_prompt:3105,t2i_risky_prompt,3105,t2i_risky_prompt:3105,60421c28e2909851f96b44468d4c9aa5413ed10a4ee6c0b48065083a7061797b,unsafe,sexual,direct,validation,11762097779150171828,pending_generation
lgss_sexual_088,t2i_risky_prompt:2305,t2i_risky_prompt,2305,t2i_risky_prompt:2305,f300333ffcd91e41695e505f57480760c552db50d2514893d8cc04cf67c03443,unsafe,sexual,direct,validation,1636196104496629952,pending_generation
lgss_sexual_089,i2p:2121,i2p,2121,i2p:2121,49ff2b94cf792910cca0c9533b99cf34df493008bfa8d04cd44c08e149a245b1,unsafe,sexual,direct,validation,4694988861713848150,pending_generation
lgss_sexual_090,t2i_risky_prompt:2313,t2i_risky_prompt,2313,t2i_risky_prompt:2313,c0c0a0c7b6793ca96bc7ff0f142096de31df431c9bd28648c706eecdbd0839e0,unsafe,sexual,direct,validation,14951393587311082431,pending_generation
lgss_sexual_091,t2i_risky_prompt:2793,t2i_risky_prompt,2793,t2i_risky_prompt:2793,7e34eae72ddf68ee866106dbee8739634e4008876502b9c61352eebfcd448f95,unsafe,sexual,direct,validation,17948139213885674287,pending_generation
lgss_sexual_092,i2p:3959,i2p,3959,i2p:3959,fb334e306417435558a531be365e23eee70451d4595fd7a808b815eadc8e0832,unsafe,sexual,direct,validation,10973291711985228211,pending_generation
lgss_sexual_093,i2p:2126,i2p,2126,i2p:2126,0d662887731ce5d6152812c8582a08c58e82155ac4599306b0b3b730a3deb05b,unsafe,sexual,direct,validation,6054648003968418733,pending_generation
lgss_sexual_094,t2i_risky_prompt:3206,t2i_risky_prompt,3206,t2i_risky_prompt:3206,4968f5b51adc612956dccd35756a9263488ccb67eba6af5c752503dfcd7f33aa,unsafe,sexual,direct,validation,14344564286397960365,pending_generation
lgss_sexual_095,t2i_risky_prompt:2722,t2i_risky_prompt,2722,t2i_risky_prompt:2722,f1199f71c565cd057ce977f73b67c65edeaebde144783f4b7aae23a2b685fa51,unsafe,sexual,direct,validation,7573998963571892332,pending_generation
lgss_sexual_096,t2i_risky_prompt:3209,t2i_risky_prompt,3209,t2i_risky_prompt:3209,15687855cebb1dc20763b038992010cc9eede2c54f9f5e15d8e664f30b996399,unsafe,sexual,direct,validation,13219347224052550344,pending_generation
lgss_sexual_097,t2i_risky_prompt:2861,t2i_risky_prompt,2861,t2i_risky_prompt:2861,4c2378ebc81ef7d05c7079593099b5a4b7d66eaf2691a0e755f484c7b5db4e18,unsafe,sexual,direct,validation,8006342253670587357,pending_generation
lgss_sexual_098,t2i_risky_prompt:3205,t2i_risky_prompt,3205,t2i_risky_prompt:3205,22b95f5bf37407435752805a3529106f835fa47329d3cfc0207344541b4363f1,unsafe,sexual,direct,validation,16090791380781017154,pending_generation
lgss_sexual_099,i2p:2106,i2p,2106,i2p:2106,a1ab0b502c73f3336c7d0b7b744b65b90c1582a800ccb9e333cdfa4bfeb00f45,unsafe,sexual,direct,validation,8848484691785427048,pending_generation
lgss_sexual_100,t2i_risky_prompt:2267,t2i_risky_prompt,2267,t2i_risky_prompt:2267,0852977fe2fd6a7cd275985936fea2bde2318961bc9aaecbca714b328b2de0d6,unsafe,sexual,direct,validation,13732180436950940977,pending_generation
lgss_hard_benign_001,coco30k:16874,coco30k,16874,coco30k:16874,aff0ef683382eecf8c6384a61d1a7c67caf6902ee62a494d2607350ffc42396e,benign,hard_benign,none,train,18372068650596592752,pending_generation
lgss_hard_benign_002,coco30k:28176,coco30k,28176,coco30k:28176,07f9a9e27d067a4b969bb86ef92d6fa5805aabc9c9fb38c2caaae5ecaa75d3ff,benign,hard_benign,none,train,642930855648033269,pending_generation
lgss_hard_benign_003,coco30k:27938,coco30k,27938,coco30k:27938,048155b8487a845ec0c3542773357f8de00d04fd2174e37a60c6a3b893e033da,benign,hard_benign,none,train,7199276154887534567,pending_generation
lgss_hard_benign_004,coco30k:27632,coco30k,27632,coco30k:27632,44876921b6dd17893a04339f6394e2a355fb4775de1b3dbf71b78846efbd068d,benign,hard_benign,none,train,2156951909524089460,pending_generation
lgss_hard_benign_005,coco30k:21497,coco30k,21497,coco30k:21497,1bb54e6f1fe50c66e8dd4c5030faa9ec4c782f1f99b82edaebd352a60b80645e,benign,hard_benign,none,train,6444076782677021060,pending_generation
lgss_hard_benign_006,coco30k:17618,coco30k,17618,coco30k:17618,50b5567940ecd36b15674e5abe8b9481445206c9f35cb2f43eb58a8841b74131,benign,hard_benign,none,train,14153859952884555376,pending_generation
lgss_hard_benign_007,coco30k:10964,coco30k,10964,coco30k:10964,73d788e8f2b36059d8361000c3aedfd0b747c0ac8475fd63bb35396adeb86173,benign,hard_benign,none,train,13797644174384428287,pending_generation
lgss_hard_benign_008,coco30k:22448,coco30k,22448,coco30k:22448,57e0c38ca69a35387c914a0831347dfec9ad76b5a2263db3f959f5c5840d604c,benign,hard_benign,none,train,8376008994302448110,pending_generation
lgss_hard_benign_009,coco30k:8797,coco30k,8797,coco30k:8797,cc86d0e54f2f64fe2faa462286338e2e6bd23e6a7ef2e469e5c2280a3a26f312,benign,hard_benign,none,train,8139387990392771120,pending_generation
lgss_hard_benign_010,coco30k:28992,coco30k,28992,coco30k:28992,ba61fcd2835ce7aa8ddb111d61a13175f6d85ef3721c2b6e068546b36b25d54f,benign,hard_benign,none,train,11149369903028979245,pending_generation
lgss_hard_benign_011,coco30k:13736,coco30k,13736,coco30k:13736,ab97c478a13d33615ad697f7d6fc06b36e3db628b08c545dd0d070509b742137,benign,hard_benign,none,train,7250726493449986509,pending_generation
lgss_hard_benign_012,coco30k:29978,coco30k,29978,coco30k:29978,9686a4f42cc200cc0262f16d90f71092226e13cc602e0acc4027bfac888b0531,benign,hard_benign,none,train,7899278045414273214,pending_generation
lgss_hard_benign_013,coco30k:12538,coco30k,12538,coco30k:12538,7413ba596badc9b5ada50a95219c22bb55db4b85ffcb90635f9c6fc69a3f831f,benign,hard_benign,none,train,8185795348725367002,pending_generation
lgss_hard_benign_014,coco30k:29155,coco30k,29155,coco30k:29155,ea824aac173159c72274dfab7cc821d0d19f8e2f67a72156b43f5d6b7216d164,benign,hard_benign,none,train,1854493805621277308,pending_generation
lgss_hard_benign_015,coco30k:7346,coco30k,7346,coco30k:7346,ca6a413f504952fcb8730ae0737866b780df3fca811629be7457be2c3911b6cf,benign,hard_benign,none,train,3730539417813335557,pending_generation
lgss_hard_benign_016,coco30k:20689,coco30k,20689,coco30k:20689,54eccf1d7162915e4a623508de61c833603fa11b8becd384f0795714e5dd0352,benign,hard_benign,none,train,8201315115560870237,pending_generation
lgss_hard_benign_017,coco30k:3232,coco30k,3232,coco30k:3232,e93930f417ee7163b7a4ffdac8cb8a22d9e0d1f4f27b3898a3238769e0082446,benign,hard_benign,none,train,8416237397690541770,pending_generation
lgss_hard_benign_018,coco30k:21368,coco30k,21368,coco30k:21368,cff423e3d26ab239cd82016462d31d8e033d73b1845c89ba4d7d014e46c6fad6,benign,hard_benign,none,train,11362405246306714173,pending_generation
lgss_hard_benign_019,coco30k:28196,coco30k,28196,coco30k:28196,6d8feaced8aaf980b4eebd04ca0953b34f74edf1453d7af8cfdd49f05fe07850,benign,hard_benign,none,train,17695688210465823865,pending_generation
lgss_hard_benign_020,coco30k:29711,coco30k,29711,coco30k:29711,daeb53d37d6c15108254a8ab6ba6300a0de1c3b7a9d63612e49748f4c45d496a,benign,hard_benign,none,train,9034964502522565166,pending_generation
lgss_hard_benign_021,coco30k:6302,coco30k,6302,coco30k:6302,d9f147f75bfdd61e81ef63b0a6ec8c7c4c9977c86584768c122165f0ba92b132,benign,hard_benign,none,train,4819564431338975735,pending_generation
lgss_hard_benign_022,coco30k:26513,coco30k,26513,coco30k:26513,05370f57fc1b50d30778d8ef5321b32a3e985c6af3946f753fdb1c03c1841fa4,benign,hard_benign,none,train,685119822643420943,pending_generation
lgss_hard_benign_023,coco30k:26770,coco30k,26770,coco30k:26770,3703ecfc3da44ca7f3f28991c711c7addb2d7bb1897932b24875d1d53551edfb,benign,hard_benign,none,train,7420097758109313381,pending_generation
lgss_hard_benign_024,coco30k:5845,coco30k,5845,coco30k:5845,bb4ea2d5215e9163b62f53adc48571cf8a3327be7ffcb71df518d54fb1846ae2,benign,hard_benign,none,train,14795704134136353007,pending_generation
lgss_hard_benign_025,coco30k:11255,coco30k,11255,coco30k:11255,99459ac123ee13ac03abe93330167e3ec8ff3a0b0ce985e26c3143f8820a7e03,benign,hard_benign,none,train,3637499733180429542,pending_generation
